reference,title,type,issn,part-of,url,reading-lists,eissn,doi
098DD2D8-2013-FA8B-76CA-4D16D842A08C,Politicising space and place,article,0036-9225,Scottish Geographical Magazine,http://readinglists.ucl.ac.uk/items/098DD2D8-2013-FA8B-76CA-4D16D842A08C.html,14F7EC69-3236-486A-5D3B-01B939E718AE:Essential,,10.1080/14702549608554458
09F37650-337D-C07A-B403-0230FF41A771,Intergenerational transmission of neighbourhood poverty: an analysis of neighbourhood histories of individuals,article,,Transactions of the Institute of British Geographers,http://readinglists.ucl.ac.uk/items/09F37650-337D-C07A-B403-0230FF41A771.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,,10.1111/tran.12040
0B9C9A1B-55BC-925A-EEAB-E9749F6FEE4A,ETSI : Smart Cities,webpage,,,http://readinglists.ucl.ac.uk/items/0B9C9A1B-55BC-925A-EEAB-E9749F6FEE4A.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,,
0D5123F1-9661-8264-F6A7-885528480758,Philosophical Perspectives,article,,Geographic Information Science &amp; Technology Body of Knowledge,http://readinglists.ucl.ac.uk/items/0D5123F1-9661-8264-F6A7-885528480758.html,14F7EC69-3236-486A-5D3B-01B939E718AE:Optional,25772848,10.22224/gistbok/2020.2.1
0E7DFDF8-AB1A-03D6-8FF1-9E94694E1A8F,Teaching ethics when working with geocoded data: a novel experiential learning approach,article,0309-8265,Journal of Geography in Higher Education,http://readinglists.ucl.ac.uk/items/0E7DFDF8-AB1A-03D6-8FF1-9E94694E1A8F.html,14F7EC69-3236-486A-5D3B-01B939E718AE:Optional,1466-1845,10.1080/03098265.2018.1436534
0EDD527E-E76F-776C-1405-E033C7B6FF42,Is this scaling nonlinear?,article,,Royal Society Open Science,http://readinglists.ucl.ac.uk/items/0EDD527E-E76F-776C-1405-E033C7B6FF42.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,2054-5703,10.1098/rsos.150649
0F04DCBC-492B-6772-3085-86292EA26195,Local Measures of Spatial Association,article,,Geographic Information Science &amp; Technology Body of Knowledge,http://readinglists.ucl.ac.uk/items/0F04DCBC-492B-6772-3085-86292EA26195.html,14F7EC69-3236-486A-5D3B-01B939E718AE:Optional,25772848,10.22224/gistbok/2020.3.10
0FACE8AE-F39D-048F-CA63-F128E917DA62,City approaches to smart city evaluation and reporting: case studies in the United Kingdom,article,1753-5069,Urban Research &amp; Practice,http://readinglists.ucl.ac.uk/items/0FACE8AE-F39D-048F-CA63-F128E917DA62.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Recommended,1753-5077,10.1080/17535069.2017.1317828
0FC279B7-65DE-F736-66AF-90242341EB23,GIS and Cartography,chapter,,International Encyclopedia of Human Geography,http://readinglists.ucl.ac.uk/items/0FC279B7-65DE-F736-66AF-90242341EB23.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818:Essential,,
10B940D3-7EF6-492C-1E8C-4A3FEB14D080,Duncan Wilson's Pinboard of bookmarks fon Smart Cities CPG,webpage,,,http://readinglists.ucl.ac.uk/items/10B940D3-7EF6-492C-1E8C-4A3FEB14D080.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,,
