reference,title,type,isbn10,isbn13,url,reading-lists,doi
3FB2CC93-F8F5-4EDD-D5A7-4357A761065F,Quantitative geography: perspectives on spatial data analysis,book,0761959483;0761959475,,http://readinglists.ucl.ac.uk/items/3FB2CC93-F8F5-4EDD-D5A7-4357A761065F.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818:Recommended,10.4135/9781849209755
3FCF010B-DF17-F1F4-EF89-24A734F35665,The SAGE handbook of spatial analysis: The Modifiable Areal Unit Problem (MAUP),book,141291082X,9781412910828,http://readinglists.ucl.ac.uk/items/3FCF010B-DF17-F1F4-EF89-24A734F35665.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
45BCDDDA-52D2-4FBD-F357-6405CF960642,Timing space and spacing time: Vol.2: Human activity and time geography,book,0713159898,,http://readinglists.ucl.ac.uk/items/45BCDDDA-52D2-4FBD-F357-6405CF960642.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
46785FA8-9AD2-1D73-FB2F-956C2B8C3C47,The science of cities and regions: lectures on mathematical model design,book,9400722656;9400722664,9789400722651;9789400722668,http://readinglists.ucl.ac.uk/items/46785FA8-9AD2-1D73-FB2F-956C2B8C3C47.html,A6D7ED9B-ABF0-F08D-060D-726808C7AF2D,
467A14E6-D00A-DDC2-F365-39F6E6F51B71,"Smart cities: big data, civic hackers, and the quest for a new utopia",book,0393349780,9780393349788,http://readinglists.ucl.ac.uk/items/467A14E6-D00A-DDC2-F365-39F6E6F51B71.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,
4716837F-72DC-0862-D0E9-5F5CBBB54F5E,London: the information capital ; 100 maps and graphics that will change how you view the city,book,,9781846148477,http://readinglists.ucl.ac.uk/items/4716837F-72DC-0862-D0E9-5F5CBBB54F5E.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA,
47E4C68B-1275-CA6B-9618-88CBA2AF0AAB,Think Stats: Exploratory Data Analysis in Python,book,,,http://readinglists.ucl.ac.uk/items/47E4C68B-1275-CA6B-9618-88CBA2AF0AAB.html,074DEFFB-49ED-BAF2-9296-6F0191E2EEC2,
4AAE65FE-7113-751B-454C-68B425DD03EF,The signal and the noise: why so many predictions fail--but some don't,book,159420411X;0143125087,9781594204111;9780143125082,http://readinglists.ucl.ac.uk/items/4AAE65FE-7113-751B-454C-68B425DD03EF.html,074DEFFB-49ED-BAF2-9296-6F0191E2EEC2,
4BF89361-1D78-47C8-CCFA-7AA60C07706B,Making maps: a visual guide to map design for GIS,book,1609181662,9781609181666,http://readinglists.ucl.ac.uk/items/4BF89361-1D78-47C8-CCFA-7AA60C07706B.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818:Optional,
4CA599D9-2DC1-89AE-1FCB-749EFEC1216C,Doing Data Science,book,,9781449358655,http://readinglists.ucl.ac.uk/items/4CA599D9-2DC1-89AE-1FCB-749EFEC1216C.html,14F7EC69-3236-486A-5D3B-01B939E718AE:Essential,
4CB76A4D-E4DF-FB7E-BA53-55F577CA2881,Life and labour of the people in London,book,,,http://readinglists.ucl.ac.uk/items/4CB76A4D-E4DF-FB7E-BA53-55F577CA2881.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
4CE5352E-F896-BE99-ECAE-B37C08D5EF6F,Neighbourhood effects research: new perspectives,book,9400723091,9789400723092,http://readinglists.ucl.ac.uk/items/4CE5352E-F896-BE99-ECAE-B37C08D5EF6F.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,10.1007/978-94-007-2309-2
4DD60492-2C3E-1541-706D-EAC4E3E59766,Geographic information systems & science,book,0470721456;0470721448,9780470721452;9780470721445,http://readinglists.ucl.ac.uk/items/4DD60492-2C3E-1541-706D-EAC4E3E59766.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
4F08964F-E7B7-DA4F-A348-5538439DC30A,Designing information: human factors and common sense in information design,book,1118416864;1118420098;1118434129,9781118416860;9781118420096;9781118434123,http://readinglists.ucl.ac.uk/items/4F08964F-E7B7-DA4F-A348-5538439DC30A.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA:Essential,
4F2E61E8-3642-8D19-B050-64C94B157C57,"Geocomputation with R, chapter 6",book,,,http://readinglists.ucl.ac.uk/items/4F2E61E8-3642-8D19-B050-64C94B157C57.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
506920E7-ECA6-4038-9D12-24657AF66DEC,Mathematics for machine learning,book,,9781108679930;9781108470049;9781108455145,http://readinglists.ucl.ac.uk/items/506920e7-eca6-4038-9d12-24657af66dec.html,F337A367-A79E-5897-3521-039ADAAE58C0,
52118AAA-2C47-52B0-A78D-2AC2E7FD1A49,Python for data analysis,book,1449323626;1449323618;1449323596,9781449323622;9781449323615;9781449323592,http://readinglists.ucl.ac.uk/items/52118AAA-2C47-52B0-A78D-2AC2E7FD1A49.html,074DEFFB-49ED-BAF2-9296-6F0191E2EEC2,
53840C62-E450-A3C2-67AA-DB09E6B389B8,The urban experience,book,0801838495,9780801838491,http://readinglists.ucl.ac.uk/items/53840C62-E450-A3C2-67AA-DB09E6B389B8.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
53A3E325-093D-49FC-9748-935288C2F31C,The art of statistics: learning from data,book,0241398630;0241258766,9780241398630;9780241258767,http://readinglists.ucl.ac.uk/items/53a3e325-093d-49fc-9748-935288c2f31c.html,F337A367-A79E-5897-3521-039ADAAE58C0,
54C33012-C881-296F-2918-AB496FA80CBE,Urban geography: a global perspective,book,0415462010;0415462029,9780415462013;9780415462020,http://readinglists.ucl.ac.uk/items/54C33012-C881-296F-2918-AB496FA80CBE.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
55033D43-2715-C555-7151-2DF492C7BD41,The 32 stops: lives on London's Central Line,book,,9781846145605,http://readinglists.ucl.ac.uk/items/55033D43-2715-C555-7151-2DF492C7BD41.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
5AA39B66-B34B-73E4-7B5E-3C76FAA80321,Place and placelessness,book,0850860555,,http://readinglists.ucl.ac.uk/items/5AA39B66-B34B-73E4-7B5E-3C76FAA80321.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
5B4A0D6D-BCDE-24AC-B6FF-ACB8591E1E4B,Philosophy and human geography: an introduction to contemporary approaches,book,0713164905,,http://readinglists.ucl.ac.uk/items/5B4A0D6D-BCDE-24AC-B6FF-ACB8591E1E4B.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
5CFE879B-BFFF-0F5F-8FC8-7B9E5D015571,Evaluation in planning: evolution and prospects : contributions in honour of Nathaniel Lichfield,book,075464586X,,http://readinglists.ucl.ac.uk/items/5CFE879B-BFFF-0F5F-8FC8-7B9E5D015571.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,
60746024-77F4-83CA-B34A-B23335E19D48,"Geocomputation with R, chapters 2 and 7",book,,,http://readinglists.ucl.ac.uk/items/60746024-77F4-83CA-B34A-B23335E19D48.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
61C72864-8EF8-FA24-8895-9E378E166952,The condition of the working class in England,book,0140444866,,http://readinglists.ucl.ac.uk/items/61C72864-8EF8-FA24-8895-9E378E166952.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
6498359A-EDBF-3A26-8458-646834DE18C7,Local models for spatial analysis,book,1439829195;1439829233,9781439829196;9781439829233,http://readinglists.ucl.ac.uk/items/6498359A-EDBF-3A26-8458-646834DE18C7.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818:Recommended,
6531B930-B79E-98FA-EBB7-301F923FFCA1,Retail geography and intelligent network planning,book,0471497614,,http://readinglists.ucl.ac.uk/items/6531B930-B79E-98FA-EBB7-301F923FFCA1.html,A6D7ED9B-ABF0-F08D-060D-726808C7AF2D,
